year,month,missing_rate,rows
2019,1,0.0,744
2019,2,0.0,672
2019,3,0.009408602150537635,744
2019,4,0.001388888888888889,720
2019,5,0.002688172043010753,744
2019,6,0.004166666666666667,720
2019,7,0.005376344086021506,744
2019,8,0.002688172043010753,744
2019,9,0.002777777777777778,720
2019,10,0.043010752688172046,744
2019,11,0.002777777777777778,720
2019,12,0.002688172043010753,744
2020,1,0.0013440860215053765,744
2020,2,0.005747126436781609,696
2020,3,0.0,744
2020,4,0.0,720
2020,5,0.0,744
2020,6,0.0,720
2020,7,0.07123655913978495,744
2020,8,0.009408602150537635,744
2020,9,0.0375,720
2020,10,0.005376344086021506,744
2020,11,0.002777777777777778,720
2020,12,0.04704301075268817,744
2021,1,0.0013440860215053765,744
2021,2,0.002976190476190476,672
2021,3,0.016129032258064516,744
2021,4,0.009722222222222222,720
2021,5,0.0013440860215053765,744
2021,6,0.002777777777777778,720
2021,7,0.004032258064516129,744
2021,8,0.0013440860215053765,744
2021,9,0.001388888888888889,720
2021,10,0.002688172043010753,744
2021,11,0.001388888888888889,720
2021,12,0.0013440860215053765,744
2022,1,0.004032258064516129,744
2022,2,0.004464285714285714,672
2022,3,0.6518817204301075,744
2022,4,0.6763888888888889,720
2022,5,0.004032258064516129,744
2022,6,0.001388888888888889,720
2022,7,0.002688172043010753,744
2022,8,0.0013440860215053765,744
2022,9,0.001388888888888889,720
2022,10,0.002688172043010753,744
2022,11,0.001388888888888889,720
2022,12,0.038978494623655914,744
2023,1,0.0013440860215053765,744
2023,2,0.001488095238095238,672
2023,3,0.0013440860215053765,744
2023,4,0.011111111111111112,720
2023,5,0.016129032258064516,744
2023,6,0.001388888888888889,720
2023,7,0.021505376344086023,744
2023,8,0.0013440860215053765,744
2023,9,0.0,720
2023,10,0.05241935483870968,744
2023,11,0.002777777777777778,720
2023,12,0.002688172043010753,744
2024,1,0.06182795698924731,744
2024,2,0.027298850574712645,696
2024,3,0.025537634408602152,744
2024,4,0.013888888888888888,720
2024,5,0.020161290322580645,744
2024,6,0.001388888888888889,720
2024,7,0.0013440860215053765,744
2024,8,0.0013440860215053765,744
2024,9,0.004166666666666667,720
2024,10,0.013440860215053764,744
2024,11,0.016666666666666666,720
2024,12,0.024193548387096774,744
