year,month,mean_pm25,median_pm25,p95_pm25,count
2019,1,7.315367383512545,5.85,17.05,744
2019,2,9.319097222222222,6.85,28.58499999999998,672
2019,3,8.667277250113072,7.6,19.50999999999998,744
2019,4,6.671951784886416,5.800000000000001,13.55,720
2019,5,7.216194968553459,5.949999999999999,15.75,744
2019,6,7.622826592282659,6.5,15.609999999999998,720
2019,7,11.299189189189189,10.6,20.804999999999996,744
2019,8,8.20222371967655,7.4,15.694999999999993,744
2019,9,6.99155060352832,5.7,14.9,720
2019,10,5.675280898876405,4.7,11.944999999999993,744
2019,11,7.719707520891365,5.949999999999999,17.764999999999997,720
2019,12,9.14865229110512,6.8,25.36583333333333,744
2020,1,8.305540601166442,6.7,19.819999999999993,744
2020,2,9.182442196531792,8.15,19.894999999999992,696
2020,3,6.474843189964158,5.5,13.850000000000001,744
2020,4,5.906041666666667,5.3,12.55,720
2020,5,5.443413978494624,4.7,10.1425,744
2020,6,7.5813194444444445,6.7,14.104999999999995,720
2020,7,9.82959479015919,9.1,16.6,744
2020,8,9.181592039800995,9.0,15.539999999999987,744
2020,9,6.930543530543531,5.699999999999999,16.619999999999994,720
2020,10,6.36768018018018,5.6499999999999995,12.554999999999996,744
2020,11,8.831429897864437,6.95,23.107499999999998,720
2020,12,9.492665726375176,7.3,24.310000000000002,744
2021,1,8.660340960071782,6.4,24.25,744
2021,2,8.272487562189054,7.3,16.304999999999996,672
2021,3,7.569968123861566,5.85,18.55,744
2021,4,7.242847124824684,6.050000000000001,16.349999999999994,720
2021,5,6.241924629878869,5.25,12.5,744
2021,6,9.176090993500464,7.925000000000001,17.7,720
2021,7,15.238484030589294,11.1,40.150000000000006,744
2021,8,8.258815612382234,7.6,14.3,744
2021,9,6.401622624014835,5.949999999999999,11.21,720
2021,10,6.6586477987421375,6.050000000000001,12.42916666666666,744
2021,11,7.954496986555402,6.15,20.155,720
2021,12,9.988111260655003,8.4,20.939999999999998,744
2022,1,8.888708951866848,7.3,20.15,744
2022,2,8.169108121574489,7.05,17.51,672
2022,3,8.807528957528957,6.8,20.56,744
2022,4,5.023032904148783,4.25,10.089999999999998,720
2022,5,7.098560503823662,5.8,14.850000000000001,744
2022,6,6.970700046360686,6.4,12.520000000000005,720
2022,7,8.499191374663072,8.1,14.2,744
2022,8,7.094526693584568,6.8,11.79,744
2022,9,5.548307834955957,4.85,10.410000000000002,720
2022,10,6.68694968553459,6.050000000000001,13.05,744
2022,11,7.49095966620306,7.15,13.95,720
2022,12,8.56097902097902,6.25,23.579999999999995,744
2023,1,7.732794975325257,6.7,17.05,744
2023,2,8.771684053651267,7.7,19.45,672
2023,3,6.656437864513235,5.15,17.10999999999999,744
2023,4,8.165777153558054,7.3,16.51749999999999,720
2023,5,7.554121129326048,6.225,18.072499999999998,744
2023,6,24.443625405656004,10.6,83.52000000000005,720
2023,7,12.783882783882783,9.7,31.989999999999988,744
2023,8,8.621467025572006,7.2,17.59,744
2023,9,7.408333333333333,6.2,14.6,720
2023,10,7.256879432624114,6.0,16.179999999999996,744
2023,11,7.257520891364902,5.55,19.859999999999992,720
2023,12,9.374056603773585,6.8,24.189999999999987,744
2024,1,7.131232091690545,5.9,16.214999999999996,744
2024,2,7.244313146233382,5.3,19.119999999999994,696
2024,3,5.733241379310345,4.2,15.999999999999979,744
2024,4,6.279366197183099,4.9,14.1,720
2024,5,6.70877914951989,5.5,14.8,744
2024,6,8.007162726008344,7.6,14.510000000000002,720
2024,7,9.510228802153433,8.2,18.6,744
2024,8,9.208277254374158,7.7,19.2,744
2024,9,5.770013947001395,5.1,9.9,720
2024,10,6.883787465940054,5.4,18.24000000000001,744
2024,11,7.012994350282486,5.0,15.564999999999998,720
2024,12,6.58236914600551,5.5,14.1,744
