horizon_h,model,year,MAE,RMSE,R2,N
1,lgbm_large,2024,1.4787286335733325,3.7429698482640807,0.5718591758987939,7878
1,lgbm_medium,2024,1.449732326671241,3.684457075092302,0.5851405513104893,7878
1,lgbm_small,2024,1.4181686900521204,3.6790256610255123,0.5863627735139787,7878
1,persistence,2024,0.9016523155690016,2.737974000797582,0.7726785161491317,8594
1,rf_stable,2024,1.4427147956732245,3.7705459113113524,0.5655273429508274,7878
1,ridge_lag,2024,1.435743697518462,3.8237707617036842,0.5531747783035579,7878
1,rolling_mean_168h,2024,3.658841270414162,5.873984201980849,-0.04753734056118675,8628
1,rolling_mean_24h,2024,2.6520132848833575,5.120981438388794,0.20435687959613202,8621
1,seasonal_naive_daily,2024,3.942988343341575,7.332005809859148,-0.6195353330435229,8493
1,seasonal_naive_weekly,2024,4.8880339863110684,8.225198916440295,-1.0331453029765791,8474
6,lgbm_large,2024,2.7064732177861153,5.361594357058504,0.12493796507061206,7833
6,lgbm_medium,2024,2.6436423686858785,5.25250340615333,0.16018501276106345,7833
6,lgbm_small,2024,2.609295510630329,5.278985181722254,0.1516954016357588,7833
6,persistence,2024,2.5029959040374488,6.12299978684481,-0.13668310548503437,8545
6,rf_stable,2024,2.5819279554733026,5.194277835073942,0.17870101363765334,7833
6,ridge_lag,2024,2.646512732675249,5.529091205972818,0.0694098673479373,7833
6,rolling_mean_168h,2024,3.74228606062936,5.969876289814924,-0.08190937316171776,8623
6,rolling_mean_24h,2024,3.100537380510174,5.6453596343849295,0.03368704318178872,8611
6,seasonal_naive_daily,2024,4.203123526638378,7.501105843352234,-0.6961270093690661,8484
6,seasonal_naive_weekly,2024,4.837009919697685,8.118211018550205,-0.9792116880913186,8468
12,lgbm_large,2024,3.242852477142618,5.735817949245625,-0.009463158465785604,7795
12,lgbm_medium,2024,3.232952232874995,6.043802034405536,-0.12077959916701153,7795
12,lgbm_small,2024,3.298505903732201,6.058330783665095,-0.12617457992073478,7795
12,persistence,2024,3.191436464088398,6.73818822948449,-0.3738531690577813,8507
12,rf_stable,2024,3.139895253298985,5.593543030064668,0.03999449625930385,7795
12,ridge_lag,2024,3.136407264565875,5.669297699619458,0.013815251895412772,7795
12,rolling_mean_168h,2024,3.8102500049494594,6.0301161115549915,-0.10323665923715031,8617
12,rolling_mean_24h,2024,3.467339100418705,5.939734493640575,-0.06850205900516215,8599
12,seasonal_naive_daily,2024,4.332062330303387,7.299192041745654,-0.6722422755832975,8471
12,seasonal_naive_weekly,2024,4.742944930276531,7.960541315360521,-0.9013388788596541,8462
24,lgbm_large,2024,3.7866050364595396,5.877608769427065,-0.07118426565880198,7763
24,lgbm_medium,2024,3.8569315678929335,6.053245521412273,-0.136159787203046,7763
24,lgbm_small,2024,3.7447999645582084,5.874645852440393,-0.07010456463980064,7763
24,persistence,2024,3.8779010742533346,7.295869998940186,-0.6000984498965694,8471
24,rf_stable,2024,3.6698396634495665,5.858842794593112,-0.06435505081593496,7763
24,ridge_lag,2024,3.5990802363515466,5.917573862756907,-0.08580093210512829,7763
24,rolling_mean_168h,2024,3.8977433584934134,6.110397192063566,-0.13127515363047237,8605
24,rolling_mean_24h,2024,3.941760882211309,6.28545955160828,-0.19380877356994075,8575
24,seasonal_naive_daily,2024,4.580765589871022,7.821713203145237,-0.8313249291829126,8451
24,seasonal_naive_weekly,2024,4.548053715097018,7.595447997113636,-0.7359994364495916,8452
48,lgbm_large,2024,4.242980327456417,6.22147577630599,-0.30186557793822777,7729
48,lgbm_medium,2024,4.117477913143895,6.0797371827164435,-0.243222687049647,7729
48,lgbm_small,2024,4.061141156929947,6.071402974016715,-0.2398165609905758,7729
48,persistence,2024,4.590856769906253,7.832456801911844,-0.8319849616074295,8427
48,rf_stable,2024,4.103751796299224,6.05786807088896,-0.2342949072608309,7729
48,ridge_lag,2024,3.9326391396639773,5.708095986629671,-0.09587709606074934,7729
48,rolling_mean_168h,2024,3.941686893181706,6.140853435142414,-0.13990335316221914,8581
48,rolling_mean_24h,2024,4.44940112965902,6.933939592124296,-0.44858557352799733,8549
48,seasonal_naive_daily,2024,4.825118680275338,7.59192633123777,-0.7746916534249839,8426
48,seasonal_naive_weekly,2024,4.561055067647756,7.717116884545146,-0.8055602854249377,8426
72,lgbm_large,2024,4.3298585412042145,6.107172782216907,-0.39222621246322054,7708
72,lgbm_medium,2024,4.308086055343644,6.017143133499109,-0.35148141234048436,7708
72,lgbm_small,2024,4.207931473439324,5.885559070613746,-0.2930187953490837,7708
72,persistence,2024,4.832196834463882,7.6012031287110835,-0.7742545146383009,8403
72,rf_stable,2024,4.122781382137732,5.659588140196622,-0.19563617846510817,7708
72,ridge_lag,2024,3.8750453933756335,5.363522114331904,-0.07381519043280438,7708
72,rolling_mean_168h,2024,3.944736127710867,6.110512766658587,-0.12568943623398598,8558
72,rolling_mean_24h,2024,4.715283005856877,7.26350079446561,-0.5849047253176187,8526
72,seasonal_naive_daily,2024,5.090104724503154,8.428900597717789,-1.12049113910138,8403
72,seasonal_naive_weekly,2024,4.766674598453301,7.968904729866849,-0.9304347914498088,8405
